인덱스,자재코드,자재내역,플랜트,특별재고,저장위치,배치,기말수량,기말금액,단가,대분류,소분류,유효기한,남은일,유효기한구간,3평판,예측부진재고,예측부진재고금액,판매개선율,권장판매량
2797,9312183,이지듀멜라비토닝앰플쿠션41호체슈넛13G(미국),1510,nan,5000,AJA,1845.0,9348364.232090285,5066.864082433759,미국,앰플쿠션,2027-08-31,532,18개월 미만,491.5,0.0,0.0,,
2798,9312183,이지듀멜라비토닝앰플쿠션41호체슈넛13G(미국),1510,nan,6080,AJA,193.0,977904.7679097155,5066.864082433759,미국,앰플쿠션,2027-08-31,532,18개월 미만,491.5,0.0,0.0,,
2799,9312184,이지듀멜라비토닝앰플쿠션45호에스프레소13G(미국),1510,nan,5000,AJA,2125.0,10767085.685049549,5066.863851788023,미국,앰플쿠션,2027-08-31,532,18개월 미만,350.0,0.0,0.0,,
2800,9312184,이지듀멜라비토닝앰플쿠션45호에스프레소13G(미국),1510,nan,6080,AJA,196.0,993105.3149504524,5066.863851788023,미국,앰플쿠션,2027-08-31,532,18개월 미만,350.0,0.0,0.0,,
2802,9312185,이지듀멜라비딥클렌징오일30ml,1510,nan,5000,I06Y006,12963.0,17736549.759344965,1368.24421502314,멜라(기타),멜라(기타),2028-03-05,719,24개월 미만,48.0,12100.6,16556575.948309008,900% 이상,480.0
2803,9312185,이지듀멜라비딥클렌징오일30ml,1510,nan,7060,I06Y006,82.0,112196.02563189747,1368.24421502314,멜라(기타),멜라(기타),2028-03-05,719,24개월 미만,48.0,82.0,112196.02563189747,900% 이상,480.0
2805,9312186,이지듀RX 포스트레이저미스트120ML,1510,nan,5000,AAB,0.0,0.0,5659.278128894428,포스트레이저,신규,2029-01-07,1027,24개월 이상,7119.0,0.0,0.0,,
2806,9312186,이지듀RX 포스트레이저미스트120ML,1510,nan,5000,AKA,0.0,0.0,5659.278128894428,포스트레이저,신규,2028-10-30,958,24개월 이상,7119.0,0.0,0.0,,
2807,9312186,이지듀RX 포스트레이저미스트120ML,1510,nan,5000,BLA,307.0,1737398.3855705895,5659.278128894428,포스트레이저,신규,2028-11-03,962,24개월 이상,7119.0,0.0,0.0,,
2808,9312186,이지듀RX 포스트레이저미스트120ML,1510,nan,5000,DMA,0.0,0.0,5659.278128894428,포스트레이저,신규,2028-12-18,1007,24개월 이상,7119.0,0.0,0.0,,
2809,9312186,이지듀RX 포스트레이저미스트120ML,1510,nan,5100,0,0.0,0.0,5659.278128894428,포스트레이저,신규,,0,유효기한 없음,7119.0,0.0,0.0,,
2810,9312186,이지듀RX 포스트레이저미스트120ML,1510,nan,5100,AKA,1.0,5659.278128894428,5659.278128894428,포스트레이저,신규,2028-10-30,958,24개월 이상,7119.0,0.0,0.0,,
2811,9312186,이지듀RX 포스트레이저미스트120ML,1510,nan,5100,BLA,0.0,0.0,5659.278128894428,포스트레이저,신규,2028-11-03,962,24개월 이상,7119.0,0.0,0.0,,
2812,9312186,이지듀RX 포스트레이저미스트120ML,1510,nan,6040,AKA,27.0,152800.50948014954,5659.278128894428,포스트레이저,신규,2028-10-30,958,24개월 이상,7119.0,0.0,0.0,,
2813,9312186,이지듀RX 포스트레이저미스트120ML,1510,nan,6090,AAB,2772.0,15687518.973295353,5659.278128894428,포스트레이저,신규,2029-01-07,1027,24개월 이상,7119.0,0.0,0.0,,
2814,9312186,이지듀RX 포스트레이저미스트120ML,1510,nan,6090,AKA,1859.0,10520598.041614741,5659.278128894428,포스트레이저,신규,2028-10-30,958,24개월 이상,7119.0,0.0,0.0,,
