자재,자재 내역,Stock Quantity on Period End,3평판,대분류,소분류,재고일수
7302262,이지듀멜라토닝울트라카밍토너시카알로에130ML_펌프(미스트)(V1),3346.0,216.66666666666663,판촉물,판촉물,463.2923076923078
7302264,[판촉물_상품]이지듀키링파우치,62496.0,5390.333333333333,판촉물,판촉물,347.8226454764702
7302266,이지듀멜라토닝울트라카밍토너시카알로에130ML_펌프(미스트)(V2),34578.0,0.0,판촉물,판촉물,999.0
7302267,이지듀명절선물세트_쇼핑백(15CM),11538.0,0.0,판촉물,판촉물,999.0
7302293,이지듀밀착커버매트팩트퍼프(2개입),89060.0,3387.0,판촉물,판촉물,788.8396811337467
7302317,이지듀밀착커버앰플쿠션퍼프(2개입)_V2,101345.0,2324.333333333333,판촉물,판촉물,1308.0524881686506
7302334,이지듀밀착커버매트팩트퍼프(1개입),2167.0,0.0,판촉물,판촉물,999.0
7302335,이지듀밀착커버앰플쿠션퍼프(1개입),7766.0,0.0,판촉물,판촉물,999.0
7302385,[25년]이지듀쇼핑백_소(200*80*200),13011.0,2086.0,판촉물,판촉물,187.11888782358582
7302435,앰플쿠션13g내추럴어워즈한정기획(2025)(+8g미니어처쿠션)_단상자,327.0,0.0,기타,기타,999.0
7302439,이지듀멜라비토닝앰플쿠션하운드체크에디션케이스_단상자,3008.0,0.0,판촉물,판촉물,999.0
7302471,[부자재_인도네시아]비타앰플클렌저_200ml_용기덧방라벨_V2,940.0,0.0,세트포장재,세트포장재,999.0
7302472,[부자재_인도네시아]원데이앰플_15ml_용기덧방라벨_V2,400.0,0.0,세트포장재,세트포장재,999.0
7302473,[부자재_인도네시아]원데이앰플_30ml_용기덧방라벨_V2,800.0,0.0,세트포장재,세트포장재,999.0
7302474,[부자재_인도네시아]비타앰플클렌저_200ml_단상자덧방라벨_V2,940.0,0.0,세트포장재,세트포장재,999.0
7302475,[부자재_인도네시아]비타앰플클렌저_30ml_단상자덧방라벨_V2,500.0,0.0,세트포장재,세트포장재,999.0
7302477,[부자재_인도네시아]원데이앰플_30ml_단상자덧방라벨_V2,800.0,0.0,세트포장재,세트포장재,999.0
7302500,[판촉물]25년크리스마스양말_아트토큰,34.0,0.0,판촉물,판촉물,999.0
7302505,[사급전환]이지듀멜라에이레티노0.03프로크림1ML 주사기용기3,631.0,0.0,기타,기타,999.0
7302506,[사급전환]이지듀멜라에이레티노0.03프로크림10ML 펌프,5481.0,0.0,기타,기타,999.0
7302507,[사급전환]이지듀멜라에이레티노0.03프로크림10+1ML(OY) 단상자,5403.0,0.0,기타,기타,999.0
7302508,[사급전환]이지듀멜라에이레티노0.03프로크림10ML 캡,5844.0,0.0,기타,기타,999.0
