인덱스,자재코드,자재내역,플랜트,특별재고,저장위치,배치,기말수량,기말금액,단가,대분류,소분류,유효기한,남은일,유효기한구간,3평판
160,2303778,[부자재]이지듀명절용멜라3-스텝스페셜세트(싸바리)_v2,1510,O,,nan,0.0,0.0,2164.2894482090996,미분류,미분류,,,유효기한 없음,0.0
161,2303778,[부자재]이지듀명절용멜라3-스텝스페셜세트(싸바리)_v2,1510,nan,5000.0,nan,1033.0,2235711.0,2164.2894482090996,미분류,미분류,,,유효기한 없음,0.0
162,2303810,[부자재]글로우팩트(FW)레드에디션_21호내추럴_봉합라벨(26년설),1510,O,,nan,0.0,0.0,46.87490566037736,미분류,미분류,,,유효기한 없음,0.0
163,2303810,[부자재]글로우팩트(FW)레드에디션_21호내추럴_봉합라벨(26년설),1510,nan,5000.0,nan,5300.0,248437.0,46.87490566037736,미분류,미분류,,,유효기한 없음,0.0
164,2303811,[부자재]글로우팩트(FW)레드에디션_19호페어_봉합라벨(26년설),1510,O,,nan,0.0,0.0,46.87461538461538,미분류,미분류,,,유효기한 없음,0.0
165,2303811,[부자재]글로우팩트(FW)레드에디션_19호페어_봉합라벨(26년설),1510,nan,5000.0,nan,1300.0,60936.99999999999,46.87461538461538,미분류,미분류,,,유효기한 없음,0.0
166,2303812,[부자재]글로우팩트(FW)레드에디션_23호베이지_봉합라벨(26년설),1510,O,,nan,0.0,0.0,46.87461538461538,미분류,미분류,,,유효기한 없음,0.0
167,2303812,[부자재]글로우팩트(FW)레드에디션_23호베이지_봉합라벨(26년설),1510,nan,5000.0,nan,1300.0,60936.99999999999,46.87461538461538,미분류,미분류,,,유효기한 없음,0.0
168,2303813,[부자재]기미쿠션레드에디션_21호내추럴_봉합라벨(26년설),1510,O,,nan,0.0,0.0,36.71875,미분류,미분류,,,유효기한 없음,0.0
169,2303813,[부자재]기미쿠션레드에디션_21호내추럴_봉합라벨(26년설),1510,nan,5000.0,nan,5600.0,205625.0,36.71875,미분류,미분류,,,유효기한 없음,0.0
170,2303814,[부자재]기미쿠션레드에디션_23호베이지_봉합라벨(26년설),1510,O,,nan,0.0,0.0,39.062333333333335,미분류,미분류,,,유효기한 없음,0.0
171,2303814,[부자재]기미쿠션레드에디션_23호베이지_봉합라벨(26년설),1510,nan,5000.0,nan,3000.0,117187.0,39.062333333333335,미분류,미분류,,,유효기한 없음,0.0
172,2303815,[부자재]기미쿠션레드에디션_19호페어_봉합라벨(26년설),1510,O,,nan,0.0,0.0,46.875,미분류,미분류,,,유효기한 없음,0.0
173,2303815,[부자재]기미쿠션레드에디션_19호페어_봉합라벨(26년설),1510,nan,5000.0,nan,1400.0,65625.0,46.875,미분류,미분류,,,유효기한 없음,0.0
174,2303816,[부자재]기미쿠션레드에디션_22호라이트베이지_봉합라벨(26년설),1510,O,,nan,0.0,0.0,46.87444444444444,미분류,미분류,,,유효기한 없음,0.0
175,2303816,[부자재]기미쿠션레드에디션_22호라이트베이지_봉합라벨(26년설),1510,nan,5000.0,nan,900.0,42187.0,46.87444444444444,미분류,미분류,,,유효기한 없음,0.0
176,2303817,[부자재]기미쿠션세트_21호 내추럴_봉합라벨(26신년),1510,O,,nan,0.0,0.0,46.87461538461538,미분류,미분류,,,유효기한 없음,0.0
177,2303817,[부자재]기미쿠션세트_21호 내추럴_봉합라벨(26신년),1510,nan,5000.0,nan,1300.0,60936.99999999999,46.87461538461538,미분류,미분류,,,유효기한 없음,0.0
178,2303818,[부자재]기미쿠션세트_22호 라이트베이지_봉합라벨(26신년),1510,O,,nan,0.0,0.0,46.87466666666667,미분류,미분류,,,유효기한 없음,0.0
179,2303818,[부자재]기미쿠션세트_22호 라이트베이지_봉합라벨(26신년),1510,nan,5000.0,nan,1500.0,70312.0,46.87466666666667,미분류,미분류,,,유효기한 없음,0.0
180,2303819,[부자재]기미쿠션세트_19호 페어_봉합라벨(26신년),1510,O,,nan,0.0,0.0,46.87466666666667,미분류,미분류,,,유효기한 없음,0.0
181,2303819,[부자재]기미쿠션세트_19호 페어_봉합라벨(26신년),1510,nan,5000.0,nan,1500.0,70312.0,46.87466666666667,미분류,미분류,,,유효기한 없음,0.0
182,2303820,[부자재]기미쿠션세트_23호 베이지_봉합라벨(26신년),1510,O,,nan,0.0,0.0,46.87466666666667,미분류,미분류,,,유효기한 없음,0.0
183,2303820,[부자재]기미쿠션세트_23호 베이지_봉합라벨(26신년),1510,nan,5000.0,nan,1500.0,70312.0,46.87466666666667,미분류,미분류,,,유효기한 없음,0.0
184,2303821,[부자재]기미팩트세트_21호내추럴_봉합라벨(26신년),1510,O,,nan,0.0,0.0,46.87483443708609,미분류,미분류,,,유효기한 없음,0.0
185,2303821,[부자재]기미팩트세트_21호내추럴_봉합라벨(26신년),1510,nan,5000.0,nan,1510.0,70781.0,46.87483443708609,미분류,미분류,,,유효기한 없음,0.0
186,2303822,[부자재]기미팩트세트_23호베이지_봉합라벨(26신년),1510,O,,nan,0.0,0.0,46.875,미분류,미분류,,,유효기한 없음,0.0
187,2303822,[부자재]기미팩트세트_23호베이지_봉합라벨(26신년),1510,nan,5000.0,nan,1560.0,73125.0,46.875,미분류,미분류,,,유효기한 없음,0.0
188,2303823,[부자재]기미팩트세트_19호페어_봉합라벨(26신년),1510,O,,nan,0.0,0.0,46.8748427672956,미분류,미분류,,,유효기한 없음,0.0
189,2303823,[부자재]기미팩트세트_19호페어_봉합라벨(26신년),1510,nan,5000.0,nan,1590.0,74531.0,46.8748427672956,미분류,미분류,,,유효기한 없음,0.0
190,2303824,[부자재]기미앰플30ML*6세트(26신년)_슬리브(+종이게또),1510,O,,nan,0.0,0.0,100.0,세트포장재,세트포장재,,,유효기한 없음,0.0
